Id,WnvPresent
1,0.022165911
2,0.010989586
3,0.022165911
4,0.010989586
5,0.010989586
6,0.010989586
7,0.010989586
8,0.010989586
9,0.001099475
10,0.0005392488
11,0.001099475
12,0.0005392488
13,0.0005392488
14,0.0005392488
15,0.0005392488
16,0.0005392488
17,0.022165911
18,0.010989586
19,0.022165911
20,0.010989586
21,0.010989586
22,0.010989586
23,0.010989586
24,0.010989586
113,0.022165911
114,0.010989586
115,0.0332945
116,0.010989586
117,0.010989586
118,0.010989586
119,0.010989586
120,0.010989586
121,0.001099475
122,0.0005392488
123,0.0016695346
124,0.0005392488
125,0.0005392488
126,0.0005392488
127,0.0005392488
128,0.0005392488
145,0.029748717
146,0.00979515
147,0.029748717
148,0.00979515
149,0.00979515
150,0.00979515
151,0.00979515
152,0.00979515
153,0.029748717
154,0.00979515
155,0.029748717
156,0.00979515
157,0.00979515
158,0.013277036
159,0.013277036
160,0.013277036
161,0.044752162
162,0.014889672
163,0.044752162
164,0.014889672
165,0.014889672
166,0.014889672
167,0.014889672
168,0.014889672
177,0.002269624
178,0.0007333723
179,0.002269624
180,0.0007333723
181,0.0007333723
182,0.0007333723
183,0.0007333723
184,0.0007333723
185,0.0400367
186,0.013277036
187,0.0400367
188,0.013277036
189,0.013277036
190,0.013277036
191,0.013277036
192,0.013277036
241,0.002269624
242,0.0007333723
243,0.002269624
244,0.0007333723
245,0.0007333723
246,0.0007333723
247,0.0007333723
248,0.0007333723
249,0.0400367
250,0.013277036
251,0.060845446
252,0.013277036
253,0.013277036
254,0.013277036
255,0.013277036
256,0.013277036
265,0.002269624
266,0.0011138252
267,0.003521241
268,0.0007333723
269,0.0007333723
270,0.0007333723
271,0.0007333723
272,0.0007333723
281,0.002269624
282,0.0011138252
283,0.003521241
284,0.0007333723
285,0.0007333723
286,0.0007333723
287,0.0007333723
288,0.0007333723
289,0.002269624
290,0.0011138252
291,0.003521241
292,0.0007333723
293,0.0007333723
294,0.0007333723
295,0.0007333723
296,0.0007333723
297,0.025432715
298,0.012630514
299,0.03895922
300,0.008349147
301,0.008349147
302,0.008349147
303,0.008349147
304,0.008349147
337,0.014999439
338,0.007409163
339,0.023108518
340,0.0048889145
341,0.0048889145
342,0.0048889145
343,0.0048889145
344,0.0048889145
345,0.025432715
346,0.012630514
347,0.03895922
348,0.008349147
349,0.008349147
350,0.008349147
351,0.008349147
352,0.008349147
353,0.003521241
354,0.0011138252
355,0.003521241
356,0.0007333723
357,0.0007333723
358,0.0007333723
359,0.0007333723
360,0.0007333723
361,0.067838535
362,0.022449046
363,0.067838535
364,0.014889672
365,0.014889672
366,0.014889672
367,0.014889672
368,0.014889672
369,0.067838535
370,0.022449046
371,0.067838535
372,0.014889672
373,0.014889672
374,0.014889672
375,0.014889672
376,0.014889672
377,0.060845446
378,0.020034341
379,0.060845446
380,0.013277036
381,0.013277036
382,0.013277036
383,0.013277036
384,0.013277036
385,0.03895922
386,0.012630514
387,0.03895922
388,0.008349147
389,0.008349147
390,0.008349147
391,0.008349147
392,0.008349147
401,0.03895922
402,0.012630514
403,0.03895922
404,0.008349147
405,0.008349147
406,0.008349147
407,0.008349147
408,0.008349147
473,0.067838535
474,0.022449046
475,0.067838535
476,0.014889672
477,0.014889672
478,0.014889672
479,0.014889672
480,0.014889672
481,0.067838535
482,0.022449046
483,0.067838535
484,0.014889672
485,0.014889672
486,0.014889672
487,0.014889672
488,0.014889672
489,0.003521241
490,0.0011138252
491,0.003521241
492,0.0007333723
493,0.0007333723
494,0.0007333723
495,0.0007333723
496,0.0007333723
513,0.023108518
514,0.007409163
515,0.023108518
516,0.0048889145
517,0.0048889145
518,0.0048889145
519,0.0048889145
520,0.0048889145
529,0.067838535
530,0.022449046
531,0.067838535
532,0.014889672
533,0.014889672
534,0.014889672
535,0.014889672
536,0.014889672
537,0.003521241
538,0.0011138252
539,0.003521241
540,0.0007333723
541,0.0007333723
542,0.0007333723
543,0.0007333723
544,0.0007333723
561,0.003521241
562,0.0011138252
563,0.003521241
564,0.0007333723
565,0.0007333723
566,0.0007333723
567,0.0007333723
568,0.0007333723
897,0.060845446
898,0.020034341
899,0.060845446
900,0.013277036
901,0.013277036
902,0.013277036
903,0.013277036
904,0.013277036
929,0.060845446
930,0.020034341
931,0.060845446
932,0.013277036
933,0.013277036
934,0.013277036
935,0.013277036
936,0.013277036
937,0.067838535
938,0.022449046
939,0.067838535
940,0.014889672
941,0.014889672
942,0.014889672
943,0.014889672
944,0.014889672
945,0.060845446
946,0.020034341
947,0.060845446
948,0.013277036
949,0.013277036
950,0.013277036
951,0.013277036
952,0.013277036
1001,0.003521241
1002,0.0011138252
1003,0.003521241
1004,0.0007333723
1005,0.0007333723
1006,0.0007333723
1007,0.0007333723
1008,0.0007333723
1017,0.003521241
1018,0.0011138252
1019,0.003521241
1020,0.0007333723
1021,0.0007333723
1022,0.0007333723
1023,0.0007333723
1024,0.0007333723
1033,0.067838535
1034,0.022449046
1035,0.067838535
1036,0.014889672
1037,0.014889672
1038,0.014889672
1039,0.014889672
1040,0.014889672
1089,0.067838535
1090,0.022449046
1091,0.067838535
1092,0.014889672
1093,0.014889672
1094,0.014889672
1095,0.014889672
1096,0.014889672
1105,0.067838535
1106,0.022449046
1107,0.067838535
1108,0.014889672
1109,0.014889672
1110,0.014889672
1111,0.014889672
1112,0.014889672
1121,0.003521241
1122,0.0011138252
1123,0.003521241
1124,0.0007333723
1125,0.0007333723
1126,0.0007333723
1127,0.0007333723
1128,0.0007333723
1129,0.067838535
1130,0.022449046
1131,0.067838535
1132,0.014889672
1133,0.014889672
1134,0.014889672
1135,0.014889672
1136,0.014889672
1137,0.067838535
1138,0.022449046
1139,0.067838535
1140,0.014889672
