Species,Trap,AddressNumberAndStreet,Latitude,Longitude,Depart,Sunrise,Sunset,CodeSum,roll_sum_21_PrecipTotal,roll_sum_28_PrecipTotal,roll_mean_7_Tmin,roll_mean_28_Tmin,roll_mean_28_Tavg,Month,Year,num_trap,roll_sum_14_num_trap,speciesXroll_sum_28_num_trap,KMeans,timediff
0,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.98069498069498,0
0,T007,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0
0,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.412429378531073,0
0,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999129,-87.795585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.482993197278912,0
0,T148,"7500  N OAKLEY AVE, Chicago, IL",42.01743,-87.687769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3988095238095237,0
0,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4941176470588236,0
0,T046,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.654491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.492307692307692,0
0,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.607558139534884,0
0,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.492307692307692,0
0,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.557971014492754,0
0,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.017441860465116,0
0,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.255813953488373,0
0,T091,"1100  S PEORIA ST, Chicago, IL",41.862292,-87.64886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.607558139534884,0
0,T094,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.560975609756097,0
0,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.560975609756097,0
0,T129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.027397260273973,0
0,T153,"1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.422459893048129,0
0,T159,"8900  S CARPENTER ST, Chicago, IL",41.732984,-87.649642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05761316872428,0
0,T009,"9100  W HIGGINS AVE, Chicago, IL",41.981964,-87.812827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.412429378531073,0
0,T011,"3600  N PITTSBURGH AVE, Chicago, IL",41.944869,-87.832763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.857142857142858,0
0,T016,"7200  N OKETO AVE, Chicago, IL",42.011601,-87.811506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.482993197278912,0
0,T025,"4900  W BALMORAL AVE, Chicago, IL",41.979243,-87.750938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.511111111111111,0
0,T028,"5800  N WESTERN AVE, Chicago, IL",41.986921,-87.689778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.548192771084337,0
0,T141,"5300  W AGATITE AVE, Chicago, IL",41.961743,-87.76007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.256410256410257,0
0,T142,"4000  N AUSTIN AVE, Chicago, IL",41.953067,-87.776792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.035714285714286,0
0,T146,"4200  N RICHMOND ST, Chicago, IL",41.958271,-87.702575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.467032967032967,0
0,T149,"1500  W GRANVILLE AVE, Chicago, IL",41.994469,-87.667736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3988095238095237,0
0,T150,"1800  W FARWELL AVE, Chicago, IL",42.006858,-87.675919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3988095238095237,0
0,T151,"7000   W ARMITAGE AVENUE, Chicago, IL",41.916265,-87.800515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.53287197231834,0
0,T218,"3700  N KEDVALE AVE, Chicago, IL",41.948167,-87.730698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.467032967032967,0
0,T220,"4500  N CAMPBELL AVE, Chicago, IL",41.963976,-87.69181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.548192771084337,0
0,T019,"3800  N CALIFORNIA AVE, Chicago, IL",41.94983,-87.698457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.557971014492754,0
0,T031,"5000  S CENTRAL AVE, Chicago, IL",41.801498,-87.763416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.568493150684931,0
0,T033,"1400  N HUMBOLDT DR, Chicago, IL",41.906638,-87.701431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.807881773399015,0
0,T089,"1000  S VINCENNES, Chicago, IL",41.723195,-87.64997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05761316872428,0
0,T090,"1100  S ASHLAND AVE, Chicago, IL",41.868077,-87.666901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.607558139534884,0
0,T092,"1100  S STATE ST, Chicago, IL",41.869216,-87.627561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.027397260273973,0
0,T135,"4200  W 127TH PL, Chicago, IL",41.662014,-87.724608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.060109289617486,0
0,T145,"4300  N ASHLAND AVE OVERPASS, Chicago, IL",41.878114,-87.629798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.027397260273973,0
0,T147,"2800  N FRANCISCO AVE, Chicago, IL",41.932094,-87.700117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.557971014492754,0
0,T152,"2500  S MILLARD AVE, Chicago, IL",41.846075,-87.716277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.766816143497758,0
0,T154,"2100  N LAWLER AVE, Chicago, IL",41.918705,-87.752329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.422459893048129,0
0,T158,"3500  W 116TH ST, Chicago, IL",41.682587,-87.707973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.367088607594937,0
0,T162,"9300  S DR MARTIN LUTHER KING JR DR, Chicago, IL",41.725517,-87.614258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.910344827586208,0
0,T001,"4000  N TRIPP AVE, Chicago, IL",41.953705,-87.733974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.467032967032967,0
0,T003,"4600  N MILWAUKEE AVE, Chicago, IL",41.964242,-87.757639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.256410256410257,0
0,T006,"6000  N AVONDALE AVE, Chicago, IL",41.990284,-87.797127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.412429378531073,0
